"","YEAR","INDICATOR_NAME","DATA_VALUE","SD"
"1",2003,"Spring_Chlorophylla_Biomass_SEBS_Satellite",3.53229004758256,2.87841867565178
"2",2004,"Spring_Chlorophylla_Biomass_SEBS_Satellite",5.09420928850956,5.5329962250717
"3",2005,"Spring_Chlorophylla_Biomass_SEBS_Satellite",3.19474829188993,2.43337896821241
"4",2006,"Spring_Chlorophylla_Biomass_SEBS_Satellite",2.51837407113061,2.10830926339168
"5",2007,"Spring_Chlorophylla_Biomass_SEBS_Satellite",1.86923502587538,2.16704153765714
"6",2008,"Spring_Chlorophylla_Biomass_SEBS_Satellite",3.05954588557609,2.55551319169579
"7",2009,"Spring_Chlorophylla_Biomass_SEBS_Satellite",4.1350140908458,2.76193646325965
"8",2010,"Spring_Chlorophylla_Biomass_SEBS_Satellite",3.31107542747343,2.58934522908363
"9",2011,"Spring_Chlorophylla_Biomass_SEBS_Satellite",3.37840175188232,3.69479350451512
"10",2012,"Spring_Chlorophylla_Biomass_SEBS_Satellite",2.71739321179178,2.16429574719767
"11",2013,"Spring_Chlorophylla_Biomass_SEBS_Satellite",2.65163612821865,1.66391514726203
"12",2014,"Spring_Chlorophylla_Biomass_SEBS_Satellite",4.4324575500842,3.17973602915494
"13",2015,"Spring_Chlorophylla_Biomass_SEBS_Satellite",4.44913330276991,3.34671982555683
"14",2016,"Spring_Chlorophylla_Biomass_SEBS_Satellite",2.80985502362437,1.29722531870898
"15",2017,"Spring_Chlorophylla_Biomass_SEBS_Satellite",2.04622504517235,1.19354892400296
"16",2018,"Spring_Chlorophylla_Biomass_SEBS_Satellite",2.56214376351575,3.34971693448731
"17",2019,"Spring_Chlorophylla_Biomass_SEBS_Satellite",2.31488537048087,1.74060105903109
"18",2020,"Spring_Chlorophylla_Biomass_SEBS_Satellite",3.23597670111338,2.90678971513161
"19",2021,"Spring_Chlorophylla_Biomass_SEBS_Satellite",2.98448258457379,1.88679875383725
"20",2022,"Spring_Chlorophylla_Biomass_SEBS_Satellite",4.21548909018249,5.71707211483658
