YEAR,INDICATOR_NAME,DATA_VALUE
2003,Spring_Chlorophylla_Biomass_SEBS_Satellite,3.532290048
2004,Spring_Chlorophylla_Biomass_SEBS_Satellite,5.094209289
2005,Spring_Chlorophylla_Biomass_SEBS_Satellite,3.194748292
2006,Spring_Chlorophylla_Biomass_SEBS_Satellite,2.518374071
2007,Spring_Chlorophylla_Biomass_SEBS_Satellite,1.869235026
2008,Spring_Chlorophylla_Biomass_SEBS_Satellite,3.059545886
2009,Spring_Chlorophylla_Biomass_SEBS_Satellite,4.135014091
2010,Spring_Chlorophylla_Biomass_SEBS_Satellite,3.311075427
2011,Spring_Chlorophylla_Biomass_SEBS_Satellite,3.378401752
2012,Spring_Chlorophylla_Biomass_SEBS_Satellite,2.717393212
2013,Spring_Chlorophylla_Biomass_SEBS_Satellite,2.651636128
2014,Spring_Chlorophylla_Biomass_SEBS_Satellite,4.43245755
2015,Spring_Chlorophylla_Biomass_SEBS_Satellite,4.449133303
2016,Spring_Chlorophylla_Biomass_SEBS_Satellite,2.809855024
2017,Spring_Chlorophylla_Biomass_SEBS_Satellite,2.046225045
2018,Spring_Chlorophylla_Biomass_SEBS_Satellite,2.562143764
2019,Spring_Chlorophylla_Biomass_SEBS_Satellite,2.31488537
2020,Spring_Chlorophylla_Biomass_SEBS_Satellite,3.235976701
2021,Spring_Chlorophylla_Biomass_SEBS_Satellite,2.984482585
2022,Spring_Chlorophylla_Biomass_SEBS_Satellite,4.21548909
