YEAR,INDICATOR_NAME,DATA_VALUE
2003,Spring_Chlorophylla_Peak_SEBS_Satellite,106.2389381
2004,Spring_Chlorophylla_Peak_SEBS_Satellite,120.2
2005,Spring_Chlorophylla_Peak_SEBS_Satellite,111.3571429
2006,Spring_Chlorophylla_Peak_SEBS_Satellite,133.7787611
2007,Spring_Chlorophylla_Peak_SEBS_Satellite,119.6422018
2008,Spring_Chlorophylla_Peak_SEBS_Satellite,131.3853211
2009,Spring_Chlorophylla_Peak_SEBS_Satellite,139.6181818
2010,Spring_Chlorophylla_Peak_SEBS_Satellite,128.9626168
2011,Spring_Chlorophylla_Peak_SEBS_Satellite,121.1081081
2012,Spring_Chlorophylla_Peak_SEBS_Satellite,132.8558559
2013,Spring_Chlorophylla_Peak_SEBS_Satellite,125.7857143
2014,Spring_Chlorophylla_Peak_SEBS_Satellite,125.2807018
2015,Spring_Chlorophylla_Peak_SEBS_Satellite,131.7857143
2016,Spring_Chlorophylla_Peak_SEBS_Satellite,125.2807018
2017,Spring_Chlorophylla_Peak_SEBS_Satellite,110.9478261
2018,Spring_Chlorophylla_Peak_SEBS_Satellite,139.5185185
2019,Spring_Chlorophylla_Peak_SEBS_Satellite,113.6126126
2020,Spring_Chlorophylla_Peak_SEBS_Satellite,123.9473684
2021,Spring_Chlorophylla_Peak_SEBS_Satellite,129.0373832
2022,Spring_Chlorophylla_Peak_SEBS_Satellite,117.8648649
