"YEAR","INDICATOR_NAME","DATA_VALUE"
2003,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",3.42070377192982
2004,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",3.76418854625551
2005,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",3.64099734469557
2006,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",4.95901289384623
2007,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",3.5204354153208
2008,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",2.66580277095627
2009,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",4.71581487079371
2010,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",2.70604029598858
2011,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",4.88418377349787
2012,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",3.34177249340194
2013,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",3.62826011854361
2014,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",4.22631806549642
2015,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",4.03030418685121
2016,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",2.09112682127977
2017,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",2.18868872751279
2018,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",2.19786507309902
2019,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",2.1546262024871
2020,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",3.66586778495994
2021,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",2.58704592287312
2022,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",3.22728104966749
