"YEAR","INDICATOR_NAME","DATA_VALUE"
2003,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",3.32079206490673
2004,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",3.57900487153821
2005,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",3.49388530325323
2006,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",4.93265868916288
2007,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",3.55457285234536
2008,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",2.76193546002723
2009,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",4.78818643168554
2010,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",2.74692289732614
2011,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",4.88023853606028
2012,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",3.46876766219809
2013,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",3.76659394449546
2014,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",4.35716206843572
2015,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",3.99236917549168
2016,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",2.11686535027561
2017,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",2.24304673132636
2018,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",2.26124407410639
2019,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",2.09025198770946
2020,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",3.65785556543649
2021,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",2.69139747105018
2022,"Spring_Chlorophylla_Biomass_WCGOA_Satellite",3.19410808540736
