"YEAR","INDICATOR_NAME","DATA_VALUE"
1998,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",3.12
1999,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.45
2000,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.91
2001,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",3.58
2002,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",3.14
2003,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",2.69
2004,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",2.77
2005,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",2.1
2006,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.62
2007,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.11
2008,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.83
2009,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",2.12
2010,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",2.17
2011,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.73
2012,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.01
2013,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.46
2014,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.52
2015,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.75
2016,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.43
2017,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.66
2018,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",2.04
2019,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.49
2020,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",2.24
2021,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",2.03
2022,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",2.55
2023,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",0.92
