"","YEAR","INDICATOR_NAME","DATA_VALUE","SD"
"1",1998,"Spring_Chlorophylla_Peak_SEBS_Satellite",140.529411764706,22.1287295674403
"2",1999,"Spring_Chlorophylla_Peak_SEBS_Satellite",137.387096774194,16.4508703734751
"3",2000,"Spring_Chlorophylla_Peak_SEBS_Satellite",132.063829787234,22.255026500318
"4",2001,"Spring_Chlorophylla_Peak_SEBS_Satellite",129.533333333333,24.1359445687282
"5",2002,"Spring_Chlorophylla_Peak_SEBS_Satellite",121.888888888889,25.0035702818907
"6",2003,"Spring_Chlorophylla_Peak_SEBS_Satellite",115.241758241758,31.5479672383854
"7",2004,"Spring_Chlorophylla_Peak_SEBS_Satellite",122.833333333333,23.9150543499571
"8",2005,"Spring_Chlorophylla_Peak_SEBS_Satellite",114.75,23.2066233739649
"9",2006,"Spring_Chlorophylla_Peak_SEBS_Satellite",131.350515463918,24.7908086281965
"10",2007,"Spring_Chlorophylla_Peak_SEBS_Satellite",120.789473684211,19.8665198618724
"11",2008,"Spring_Chlorophylla_Peak_SEBS_Satellite",128.870967741935,14.3793525028466
"12",2009,"Spring_Chlorophylla_Peak_SEBS_Satellite",137.294736842105,15.9919352575314
"13",2010,"Spring_Chlorophylla_Peak_SEBS_Satellite",123.989473684211,18.4595559850949
"14",2011,"Spring_Chlorophylla_Peak_SEBS_Satellite",125.727272727273,22.7164501133296
"15",2012,"Spring_Chlorophylla_Peak_SEBS_Satellite",132.736263736264,15.7965081688856
"16",2013,"Spring_Chlorophylla_Peak_SEBS_Satellite",122.155555555556,17.6787253030182
"17",2014,"Spring_Chlorophylla_Peak_SEBS_Satellite",124.272727272727,18.537231251891
"18",2015,"Spring_Chlorophylla_Peak_SEBS_Satellite",133.659793814433,26.042787948369
"19",2016,"Spring_Chlorophylla_Peak_SEBS_Satellite",124.157894736842,22.0320442593083
"20",2017,"Spring_Chlorophylla_Peak_SEBS_Satellite",107.367346938776,18.7690179867693
"21",2018,"Spring_Chlorophylla_Peak_SEBS_Satellite",143.064516129032,19.592482171582
"22",2019,"Spring_Chlorophylla_Peak_SEBS_Satellite",112.115789473684,20.6546389400164
"23",2020,"Spring_Chlorophylla_Peak_SEBS_Satellite",122.305263157895,17.3714571984036
"24",2021,"Spring_Chlorophylla_Peak_SEBS_Satellite",127.064516129032,20.6638765101413
"25",2022,"Spring_Chlorophylla_Peak_SEBS_Satellite",119.173913043478,18.7936210218583
"26",2023,"Spring_Chlorophylla_Peak_SEBS_Satellite",125.833333333333,27.1350100779385
