YEAR,INDICATOR_NAME,DATA_VALUE
1998,Spring_Chlorophylla_Peak_SEBS_Satellite,140.5294118
1999,Spring_Chlorophylla_Peak_SEBS_Satellite,137.3870968
2000,Spring_Chlorophylla_Peak_SEBS_Satellite,132.0638298
2001,Spring_Chlorophylla_Peak_SEBS_Satellite,129.5333333
2002,Spring_Chlorophylla_Peak_SEBS_Satellite,121.8888889
2003,Spring_Chlorophylla_Peak_SEBS_Satellite,115.2417582
2004,Spring_Chlorophylla_Peak_SEBS_Satellite,122.8333333
2005,Spring_Chlorophylla_Peak_SEBS_Satellite,114.75
2006,Spring_Chlorophylla_Peak_SEBS_Satellite,131.3505155
2007,Spring_Chlorophylla_Peak_SEBS_Satellite,120.7894737
2008,Spring_Chlorophylla_Peak_SEBS_Satellite,128.8709677
2009,Spring_Chlorophylla_Peak_SEBS_Satellite,137.2947368
2010,Spring_Chlorophylla_Peak_SEBS_Satellite,123.9894737
2011,Spring_Chlorophylla_Peak_SEBS_Satellite,125.7272727
2012,Spring_Chlorophylla_Peak_SEBS_Satellite,132.7362637
2013,Spring_Chlorophylla_Peak_SEBS_Satellite,122.1555556
2014,Spring_Chlorophylla_Peak_SEBS_Satellite,124.2727273
2015,Spring_Chlorophylla_Peak_SEBS_Satellite,133.6597938
2016,Spring_Chlorophylla_Peak_SEBS_Satellite,124.1578947
2017,Spring_Chlorophylla_Peak_SEBS_Satellite,107.3673469
2018,Spring_Chlorophylla_Peak_SEBS_Satellite,143.0645161
2019,Spring_Chlorophylla_Peak_SEBS_Satellite,112.1157895
2020,Spring_Chlorophylla_Peak_SEBS_Satellite,122.3052632
2021,Spring_Chlorophylla_Peak_SEBS_Satellite,127.0645161
2022,Spring_Chlorophylla_Peak_SEBS_Satellite,119.173913
2023,Spring_Chlorophylla_Peak_SEBS_Satellite,125.8333333
