YEAR,INDICATOR_NAME,DATA_VALUE
1998,Spring_Chlorophylla_Biomass_SEBS_Satellite,0.840379847
1999,Spring_Chlorophylla_Biomass_SEBS_Satellite,1.227500693
2000,Spring_Chlorophylla_Biomass_SEBS_Satellite,1.795442481
2001,Spring_Chlorophylla_Biomass_SEBS_Satellite,2.792753826
2002,Spring_Chlorophylla_Biomass_SEBS_Satellite,3.176326828
2003,Spring_Chlorophylla_Biomass_SEBS_Satellite,1.227717649
2004,Spring_Chlorophylla_Biomass_SEBS_Satellite,2.642617718
2005,Spring_Chlorophylla_Biomass_SEBS_Satellite,1.339614487
2006,Spring_Chlorophylla_Biomass_SEBS_Satellite,0.785139412
2007,Spring_Chlorophylla_Biomass_SEBS_Satellite,1.243976928
2008,Spring_Chlorophylla_Biomass_SEBS_Satellite,0.761347132
2009,Spring_Chlorophylla_Biomass_SEBS_Satellite,2.01075356
2010,Spring_Chlorophylla_Biomass_SEBS_Satellite,0.591131852
2011,Spring_Chlorophylla_Biomass_SEBS_Satellite,3.405756472
2012,Spring_Chlorophylla_Biomass_SEBS_Satellite,1.411137401
2013,Spring_Chlorophylla_Biomass_SEBS_Satellite,0.277284491
2014,Spring_Chlorophylla_Biomass_SEBS_Satellite,0.553193346
2015,Spring_Chlorophylla_Biomass_SEBS_Satellite,0.23500075
2016,Spring_Chlorophylla_Biomass_SEBS_Satellite,0.71568558
2017,Spring_Chlorophylla_Biomass_SEBS_Satellite,0.36499935
2018,Spring_Chlorophylla_Biomass_SEBS_Satellite,1.040992549
2019,Spring_Chlorophylla_Biomass_SEBS_Satellite,0.45275409
2020,Spring_Chlorophylla_Biomass_SEBS_Satellite,1.857402682
2021,Spring_Chlorophylla_Biomass_SEBS_Satellite,1.052768595
2022,Spring_Chlorophylla_Biomass_SEBS_Satellite,1.295789263
2023,Spring_Chlorophylla_Biomass_SEBS_Satellite,0.278856078
