"YEAR","INDICATOR_NAME","DATA_VALUE"
1998,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",2.13
1999,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",1.74
2000,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",1.64
2001,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",2.13
2002,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",3.79
2003,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",2.97
2004,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",3.45
2005,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",2.82
2006,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",2.03
2007,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",2.1
2008,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",2.53
2009,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",2.85
2010,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",3.53
2011,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",2.58
2012,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",2.68
2013,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",2.36
2014,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",3.01
2015,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",2.37
2016,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",1.86
2017,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",1.48
2018,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",1.84
2019,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",1.76
2020,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",1.87
2021,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",1.96
2022,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",1.62
2023,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite",1.35
