"YEAR","INDICATOR_NAME","DATA_VALUE"
1998,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",3.45
1999,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",1.47
2000,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",2.19
2001,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",3.9
2002,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",4.16
2003,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",3.33
2004,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",3.44
2005,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",2.41
2006,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",1.97
2007,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",1.02
2008,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",1.92
2009,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",2.67
2010,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",2.18
2011,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",1.74
2012,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",0.47
2013,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",1.1
2014,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",2.22
2015,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",1.68
2016,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",1.32
2017,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",2.28
2018,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",2.26
2019,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",1.7
2020,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",2.27
2021,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",2.3
2022,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",2.95
2023,"Spring_Chlorophylla_Biomass_SMBKC_Satellite",1
