year,north_south,ice_free,ice_full,perc_open_water
1998,north,17,55,23.61111111111111
1998,south,49,7,87.5
1999,north,2,70,2.7777777777777777
1999,south,32,24,57.14285714285714
2000,north,3,69,4.166666666666666
2000,south,56,0,100
2001,north,4,68,5.555555555555555
2001,south,55,1,98.21428571428571
2002,north,11,61,15.277777777777779
2002,south,56,0,100
2003,north,9,63,12.5
2003,south,38,18,67.85714285714286
2004,north,7,65,9.722222222222223
2004,south,45,11,80.35714285714286
2005,north,4,68,5.555555555555555
2005,south,44,12,78.57142857142857
2006,north,1,71,1.3888888888888888
2006,south,34,22,60.71428571428571
2007,north,8,64,11.11111111111111
2007,south,18,38,32.142857142857146
2008,north,1,71,1.3888888888888888
2008,south,22,34,39.285714285714285
2009,north,7,65,9.722222222222223
2009,south,26,30,46.42857142857143
2010,north,2,70,2.7777777777777777
2010,south,13,43,23.214285714285715
2011,north,4,68,5.555555555555555
2011,south,29,27,51.78571428571429
2012,north,5,67,6.944444444444445
2012,south,12,44,21.428571428571427
2013,north,1,71,1.3888888888888888
2013,south,25,31,44.642857142857146
2014,north,10,62,13.88888888888889
2014,south,52,4,92.85714285714286
2015,north,10,62,13.88888888888889
2015,south,47,9,83.92857142857143
2016,north,15,57,20.833333333333336
2016,south,51,5,91.07142857142857
2017,north,17,55,23.61111111111111
2017,south,19,37,33.92857142857143
2018,north,58,14,80.55555555555556
2018,south,56,0,100
2019,north,25,47,34.72222222222222
2019,south,56,0,100
2020,north,9,63,12.5
2020,south,50,6,89.28571428571429
2021,north,4,68,5.555555555555555
2021,south,56,0,100
2022,north,6,66,8.333333333333332
2022,south,24,32,42.857142857142854
2023,north,42,30,58.333333333333336
2023,south,56,0,100
