Moor,Year,Day ice retreat,day_temp_above1,Min_WS_temp,peak_spring_bloom,Max_spring_bloom_value,Max_fall_temp,Day_first_storm,Day_overturn,Max_SF_temp,Peak_fall_bloom,Max_fall_bloom_value
M2,1995,104,110,-1.6,NA,NA,10.5,295,NA,239,NA,NA
M2,1996,0,0,-0.9,NA,NA,9.6,245,242,207,306,6.9
M2,1997,99,92,-1.56,106,39.6,13.6,245,277,220,293,16.6
M2,1998,60,56,-1.68,146,24.5,11.8,235,228,217,275,9.1
M2,1999,129,134,-1.73,113,94.8,9.7,295,263,195,238,22.6
M2,2000,35,58,-1.2,132,4.2,10.3,285,240,195,248,7.6
M2,2001,0,0,1.67,144,26.7,11.6,295,246,229,NA,NA
M2,2002,53,0,-0.14,153,13.1,12.5,265,247,242,NA,NA
M2,2003,0,0,1.63,138,22.4,12.1,295,262,251,294,59.3
M2,2004,0,0,1.31,143,23.8,13.6,275,265,224,271,19.8
M2,2005,0,0,2.12,132,30.8,13,255,235,220,261,15.5
M2,2006,36,36,-1.61,165,28.1,10.4,285,262,235,268,4.6
M2,2007,98,111,-1.67,115,9.7,12.2,255,268,246,NA,NA
M2,2008,110,128,-1.69,122,20,9.8,325,284,254,300,3.2
M2,2009,119,125,-1.73,155,9,10.1,315,NA,237,NA,NA
M2,2010,103,127,-1.38,126,16.1,8.4,265,251,213,301,4.6
M2,2011,114,120,-1.38,158,18.5,10.4,265,263,231,261,6.3
M2,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M4,1995,112,NA,NA,NA,NA,NA,325,NA,NA,NA,NA
M4,1996,44,NA,NA,NA,NA,7.6,245,NA,266,NA,NA
M4,1997,100,120,-1.69,127,27.2,NA,245,NA,NA,NA,NA
M4,1998,72,NA,NA,NA,NA,NA,235,NA,NA,NA,NA
M4,1999,128,NA,NA,124,6,8.6,215,259,200,249,8.4
M4,2000,40,NA,NA,166,12.5,10.3,245,242,232,263,5.4
M4,2001,0,0,0.86,149,21.9,10.3,305,267,232,272,14.4
M4,2002,60,65,-1.68,155,22,11.4,295,268,231,288,59.6
M4,2003,87,87,-1.24,94,76.2,11.2,275,274,258,274,9.7
M4,2004,101,100,-1.28,144,17.6,11.7,285,266,241,286,8.3
M4,2005,0,0,1.34,NA,NA,12,255,239,218,NA,NA
M4,2006,135,120,-1.7,134,32.1,9.9,255,258,242,270,24.6
M4,2007,100,123,-1.7,104,10.6,10.8,255,254,223,298,9.1
M4,2008,135,127,-1.74,129,52.3,9.6,285,279,236,282,5.4
M4,2009,117,125,-1.03,145,2.9,9.7,315,223,230,NA,0.1
M4,2010,138,NA,NA,NA,NA,8.1,265,NA,268,291,8.9
M4,2011,121,124,-1.62,129,2.8,NA,265,NA,NA,NA,NA
M4,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M4,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M4,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M4,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M4,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M4,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M4,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M4,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M4,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M5,1995,132,NA,NA,NA,NA,NA,255,NA,NA,NA,NA
M5,1996,120,NA,NA,NA,NA,NA,245,NA,NA,NA,NA
M5,1997,129,NA,NA,NA,NA,NA,265,NA,NA,NA,NA
M5,1998,124,NA,NA,NA,NA,NA,315,NA,NA,NA,NA
M5,1999,156,NA,NA,NA,NA,NA,295,NA,NA,NA,NA
M5,2000,127,NA,NA,NA,NA,NA,315,NA,NA,NA,NA
M5,2001,93,NA,NA,NA,NA,NA,295,NA,NA,NA,NA
M5,2002,109,NA,NA,NA,NA,NA,285,NA,NA,NA,NA
M5,2003,102,NA,NA,NA,NA,NA,275,NA,NA,NA,NA
M5,2004,108,NA,NA,NA,NA,NA,285,NA,NA,NA,NA
M5,2005,128,130,-1.43,NA,NA,11.3,255,NA,217,281,6.4
M5,2006,153,177,-1.74,162,6,9.3,255,NA,242,298,10.7
M5,2007,151,166,-1.74,141,14.5,11,265,NA,223,279,14.5
M5,2008,166,158,-1.75,156,35.3,9.3,325,NA,247,246,14.8
M5,2009,137,160,-1.74,NA,NA,9.4,335,NA,232,NA,NA
M5,2010,136,139,-1.71,146,6.3,9.5,265,NA,223,218,10
M5,2011,136,141,-1.71,144,2.4,7.7,215,NA,215,223,4.1
M5,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M5,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M5,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M5,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M5,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
