"year","ai_atka","sst_mean","sst_sd","indicator_name"
1985,"attu",7.88049147900183,1.06679614576319,"Atka_fall_sst"
1985,"seguam",7.87411874707807,1.11642514433574,"Atka_fall_sst"
1985,"tanaga",7.38340131807145,1.21890519852326,"Atka_fall_sst"
1986,"attu",8.58616200040576,1.28028960390774,"Atka_fall_sst"
1986,"seguam",8.40178471248247,1.05640383593356,"Atka_fall_sst"
1986,"tanaga",7.80214776274714,1.03345176034048,"Atka_fall_sst"
1987,"attu",7.42842006492189,0.998908526458461,"Atka_fall_sst"
1987,"seguam",8.13807269752221,1.53369634133373,"Atka_fall_sst"
1987,"tanaga",7.38308428720083,1.04427250732592,"Atka_fall_sst"
1988,"attu",7.62054067762224,1.02399050915489,"Atka_fall_sst"
1988,"seguam",7.62403225806452,0.984644434519867,"Atka_fall_sst"
1988,"tanaga",7.12529587235519,0.836617914400439,"Atka_fall_sst"
1989,"attu",7.59530432136336,1.42652267867732,"Atka_fall_sst"
1989,"seguam",7.97196587190276,1.69015762336585,"Atka_fall_sst"
1989,"tanaga",6.80067221644121,1.23899102665583,"Atka_fall_sst"
1990,"attu",7.90673158855752,0.947027357473654,"Atka_fall_sst"
1990,"seguam",7.86231767180926,1.20279549410981,"Atka_fall_sst"
1990,"tanaga",7.35498300381547,1.11747703189175,"Atka_fall_sst"
1991,"attu",8.00849715966728,1.01185261273974,"Atka_fall_sst"
1991,"seguam",7.89654862085087,1.41059533219373,"Atka_fall_sst"
1991,"tanaga",7.18860908775581,1.16075108015685,"Atka_fall_sst"
1992,"attu",7.28965865287076,1.26879330050175,"Atka_fall_sst"
1992,"seguam",7.48744039270687,1.05478327397966,"Atka_fall_sst"
1992,"tanaga",7.09644328824142,1.07259489705792,"Atka_fall_sst"
1993,"attu",8.16229711909109,1.37448855244423,"Atka_fall_sst"
1993,"seguam",8.23814399251987,1.25634004667121,"Atka_fall_sst"
1993,"tanaga",7.44285605272286,1.10000613405424,"Atka_fall_sst"
1994,"attu",8.08708155812538,1.16940646146686,"Atka_fall_sst"
1994,"seguam",7.67827372604021,1.53533118486406,"Atka_fall_sst"
1994,"tanaga",7.66713909122442,1.50228815848447,"Atka_fall_sst"
1995,"attu",8.02062690200852,1.62931580734848,"Atka_fall_sst"
1995,"seguam",7.77860098176718,1.75197644935826,"Atka_fall_sst"
1995,"tanaga",7.194798473812,1.60712152610332,"Atka_fall_sst"
1996,"attu",9.08662862649625,1.38367689698589,"Atka_fall_sst"
1996,"seguam",8.16749298737728,1.32304423437867,"Atka_fall_sst"
1996,"tanaga",8.1849566423864,1.28669637600645,"Atka_fall_sst"
1997,"attu",8.49825015216068,1.26791007725291,"Atka_fall_sst"
1997,"seguam",8.14073983169705,1.73096948598476,"Atka_fall_sst"
1997,"tanaga",7.98233784252515,1.46472588703505,"Atka_fall_sst"
1998,"attu",7.76463227835261,1.42705212230589,"Atka_fall_sst"
1998,"seguam",7.29060425432445,1.32024543774926,"Atka_fall_sst"
1998,"tanaga",6.89509122441901,1.03484427899588,"Atka_fall_sst"
1999,"attu",7.65891763035098,1.15012228401296,"Atka_fall_sst"
1999,"seguam",6.94673211781206,1.17455352971123,"Atka_fall_sst"
1999,"tanaga",6.45564342698578,1.08838350783949,"Atka_fall_sst"
2000,"attu",8.31456938527085,1.5047920115167,"Atka_fall_sst"
2000,"seguam",8.01257830762038,1.47005974117062,"Atka_fall_sst"
2000,"tanaga",8.01126673603885,1.47327606591828,"Atka_fall_sst"
2001,"attu",7.57894856968959,1.20127383365589,"Atka_fall_sst"
2001,"seguam",7.43954417952314,1.69766591312232,"Atka_fall_sst"
2001,"tanaga",7.04192160943462,1.42097341086961,"Atka_fall_sst"
2002,"attu",8.13128727936701,1.21022857535597,"Atka_fall_sst"
2002,"seguam",7.11320710612436,1.33228032729078,"Atka_fall_sst"
2002,"tanaga",7.5096441207076,1.31656926089271,"Atka_fall_sst"
2003,"attu",8.65965865287076,1.25116700284983,"Atka_fall_sst"
2003,"seguam",8.43318957456755,1.52039345766248,"Atka_fall_sst"
2003,"tanaga",7.99652375997225,1.40038625035177,"Atka_fall_sst"
2004,"attu",8.24447250963684,1.55852168283476,"Atka_fall_sst"
2004,"seguam",8.21705937353904,1.87761738339794,"Atka_fall_sst"
2004,"tanaga",7.25521678806798,1.51005090388088,"Atka_fall_sst"
2005,"attu",8.61113156826943,1.23211702937101,"Atka_fall_sst"
2005,"seguam",7.81420406732118,1.46359307754354,"Atka_fall_sst"
2005,"tanaga",7.4048338536247,1.47504944796692,"Atka_fall_sst"
2006,"attu",8.53097636437411,1.45974774527552,"Atka_fall_sst"
2006,"seguam",7.81447405329593,1.39357907763263,"Atka_fall_sst"
2006,"tanaga",7.28348664585501,1.39149871241621,"Atka_fall_sst"
2007,"attu",7.85789054574964,1.42667188729375,"Atka_fall_sst"
2007,"seguam",7.33952431042543,1.87992732005523,"Atka_fall_sst"
2007,"tanaga",6.70505515088449,1.34020572145695,"Atka_fall_sst"
2008,"attu",9.11597991479002,1.67380413957062,"Atka_fall_sst"
2008,"seguam",8.01772557269752,1.78637115682957,"Atka_fall_sst"
2008,"tanaga",7.49705029483177,1.507692080144,"Atka_fall_sst"
