"SUBMISSION_YEAR","INDICATOR_NAME","INDICTATOR_YEAR","MEAN_SST"
2024,"brand_new_atf_sst_indicator",1985,4.29
2024,"brand_new_atf_sst_indicator",1986,4.47
2024,"brand_new_atf_sst_indicator",1987,5.08
2024,"brand_new_atf_sst_indicator",1988,4.77
2024,"brand_new_atf_sst_indicator",1989,3.61
2024,"brand_new_atf_sst_indicator",1990,4
2024,"brand_new_atf_sst_indicator",1991,3.7
2024,"brand_new_atf_sst_indicator",1992,4.57
2024,"brand_new_atf_sst_indicator",1993,4.2
2024,"brand_new_atf_sst_indicator",1994,4.19
2024,"brand_new_atf_sst_indicator",1995,3.99
2024,"brand_new_atf_sst_indicator",1996,4.32
2024,"brand_new_atf_sst_indicator",1997,4.02
2024,"brand_new_atf_sst_indicator",1998,5.33
2024,"brand_new_atf_sst_indicator",1999,3.51
2024,"brand_new_atf_sst_indicator",2000,4.22
2024,"brand_new_atf_sst_indicator",2001,4.86
2024,"brand_new_atf_sst_indicator",2002,3.95
2024,"brand_new_atf_sst_indicator",2003,5.52
2024,"brand_new_atf_sst_indicator",2004,4.38
2024,"brand_new_atf_sst_indicator",2005,4.5
2024,"brand_new_atf_sst_indicator",2006,4.18
2024,"brand_new_atf_sst_indicator",2007,3.26
2024,"brand_new_atf_sst_indicator",2008,3.63
2024,"brand_new_atf_sst_indicator",2009,3.29
2024,"brand_new_atf_sst_indicator",2010,4.59
2024,"brand_new_atf_sst_indicator",2011,4.05
2024,"brand_new_atf_sst_indicator",2012,3.33
2024,"brand_new_atf_sst_indicator",2013,3.99
2024,"brand_new_atf_sst_indicator",2014,4.36
2024,"brand_new_atf_sst_indicator",2015,5.36
2024,"brand_new_atf_sst_indicator",2016,5.81
2024,"brand_new_atf_sst_indicator",2017,4.75
2024,"brand_new_atf_sst_indicator",2018,4.7
2024,"brand_new_atf_sst_indicator",2019,5.62
2024,"brand_new_atf_sst_indicator",2020,4.23
2024,"brand_new_atf_sst_indicator",2021,4.53
2024,"brand_new_atf_sst_indicator",2022,4.32
2024,"brand_new_atf_sst_indicator",2023,4.22
2024,"brand_new_atf_sst_indicator",2024,4.54
