"year2","Ecosystem_sub","cumheat","meanheat","sdheat","anomaly"
1986,"Northern Bering Sea",680.99,758.292413793103,140.556245316731,-77.3024137931035
1986,"Southeastern Bering Sea",1376.57,1452.14344827586,218.291065524187,-75.5734482758621
1987,"Northern Bering Sea",705.45,758.292413793103,140.556245316731,-52.8424137931034
1987,"Southeastern Bering Sea",1695.94,1452.14344827586,218.291065524187,243.796551724138
1988,"Northern Bering Sea",685.69,758.292413793103,140.556245316731,-72.6024137931036
1988,"Southeastern Bering Sea",1473.98,1452.14344827586,218.291065524187,21.836551724138
1989,"Northern Bering Sea",696.79,758.292413793103,140.556245316731,-61.5024137931035
1989,"Southeastern Bering Sea",1434.54,1452.14344827586,218.291065524187,-17.6034482758621
1990,"Northern Bering Sea",862.01,758.292413793103,140.556245316731,103.717586206896
1990,"Southeastern Bering Sea",1521.99,1452.14344827586,218.291065524187,69.846551724138
1991,"Northern Bering Sea",804.85,758.292413793103,140.556245316731,46.5575862068965
1991,"Southeastern Bering Sea",1457.09,1452.14344827586,218.291065524187,4.94655172413786
1992,"Northern Bering Sea",732.81,758.292413793103,140.556245316731,-25.4824137931035
1992,"Southeastern Bering Sea",1457.28,1452.14344827586,218.291065524187,5.13655172413792
1993,"Northern Bering Sea",690.89,758.292413793103,140.556245316731,-67.4024137931035
1993,"Southeastern Bering Sea",1482.38,1452.14344827586,218.291065524187,30.2365517241378
1994,"Northern Bering Sea",701.28,758.292413793103,140.556245316731,-57.0124137931035
1994,"Southeastern Bering Sea",1476.4,1452.14344827586,218.291065524187,24.256551724138
1995,"Northern Bering Sea",644.42,758.292413793103,140.556245316731,-113.872413793104
1995,"Southeastern Bering Sea",1311.58,1452.14344827586,218.291065524187,-140.563448275862
1996,"Northern Bering Sea",872.72,758.292413793103,140.556245316731,114.427586206897
1996,"Southeastern Bering Sea",1563.47,1452.14344827586,218.291065524187,111.326551724138
1997,"Northern Bering Sea",818.48,758.292413793103,140.556245316731,60.1875862068965
1997,"Southeastern Bering Sea",1476.85,1452.14344827586,218.291065524187,24.7065517241379
1998,"Northern Bering Sea",695.5,758.292413793103,140.556245316731,-62.7924137931035
1998,"Southeastern Bering Sea",1377.02,1452.14344827586,218.291065524187,-75.1234482758621
1999,"Northern Bering Sea",539.13,758.292413793103,140.556245316731,-219.162413793103
1999,"Southeastern Bering Sea",1198.07,1452.14344827586,218.291065524187,-254.073448275862
2000,"Northern Bering Sea",596.99,758.292413793103,140.556245316731,-161.302413793103
2000,"Southeastern Bering Sea",1223.79,1452.14344827586,218.291065524187,-228.353448275862
2001,"Northern Bering Sea",734.33,758.292413793103,140.556245316731,-23.9624137931035
2001,"Southeastern Bering Sea",1641.29,1452.14344827586,218.291065524187,189.146551724138
2002,"Northern Bering Sea",740.54,758.292413793103,140.556245316731,-17.7524137931035
2002,"Southeastern Bering Sea",1504.21,1452.14344827586,218.291065524187,52.066551724138
2003,"Northern Bering Sea",1065.71,758.292413793103,140.556245316731,307.417586206897
